name,title
Vahid    Serpooshan,Assistant Professor
Annabelle    Singer,"Assistant Professor, McCamish Foundation Early Career Professorship"
Ankur    Singh,Associate Professor
Garrett  B.  Stanley,"McCamish Foundation Distinguished Chair, Professor, Dire
ctor, McCamish Parkinson's Disease Innovation Program, C
o-Director, Georgia Tech/Emory Neural Engineering Center"
James    Stubbs,Professor of the Practice
Shalu    Suri,"Associate Director of Engineering W
orkforce Development and Diversity 
and Inclusion, Academic Professional"
Shuichi    Takayama,"Professor, GRA Eminent Scholar, Price Gilbert, Jr. Chair in Regenerative Engineering and Medicine"
W.  Robert  Taylor,"Professor, M.D., Ph.D."
Johnna  S.  Temenoff,"Carol Ann and David D. Flanagan Professor, Associate Chair for Translational Research"
Lena  H.  Ting,"McCamish Foundation Distinguished Chai
r in Biomedical Engineering, Professor
, Co-Director, Neural Engineering Center"
Denis    Tsygankov,Assistant Professor
Eberhard    Voit,"Professor, David D. Flanagan Chair, Georgia Research Alliance Eminent Scholar in Systems Biology"
May  Dongmei  Wang,"Professor, Wallace H. Coulter Disti
nguished Faculty Fellow, Kavli Fell
ow, GCC Distinguished Cancer Scholar"
Younan    Xia,"Professor, Brock Family Chair, GRA Eminent Scholar in Nanomedicine"
Cheng    Zhu," Regents' Professor, J. Erskine Love J
r. Endowed Chair in Engineering, Execu
tive Director for International Programs"
